id,asset,year,rep_period,time_block_start,time_block_end,rn,dual_shut_down_lower_bound
10468,PT_Coal,2050,4,13,16,4,0.0
10469,PT_Coal,2050,4,17,20,5,0.0
10470,PT_Coal,2050,4,21,24,6,0.0
10471,PT_Coal,2050,5,5,8,2,0.0
10472,PT_Coal,2050,5,9,12,3,0.0
10473,PT_Coal,2050,5,13,16,4,0.0
10474,PT_Coal,2050,5,17,20,5,0.0
10475,PT_Coal,2050,5,21,24,6,0.0
10476,PT_Coal,2050,6,5,8,2,0.0
10477,PT_Coal,2050,6,9,12,3,0.0
10478,PT_Coal,2050,6,13,16,4,0.0
10479,PT_Coal,2050,6,17,20,5,0.0
10480,PT_Coal,2050,6,21,24,6,0.0
10481,PT_Coal,2050,7,5,8,2,0.0
10482,PT_Coal,2050,7,9,12,3,0.0
10483,PT_Coal,2050,7,13,16,4,0.0
10484,PT_Coal,2050,7,17,20,5,0.0
10485,PT_Coal,2050,7,21,24,6,0.0
10486,PT_Coal,2050,8,5,8,2,0.0
10487,PT_Coal,2050,8,9,12,3,0.0
10488,PT_Coal,2050,8,13,16,4,0.0
10489,PT_Coal,2050,8,17,20,5,0.0
10490,PT_Coal,2050,8,21,24,6,0.0
10491,PT_Coal,2050,9,5,8,2,0.0
10492,PT_Coal,2050,9,9,12,3,0.0
10493,PT_Coal,2050,9,13,16,4,0.0
10494,PT_Coal,2050,9,17,20,5,0.0
10495,PT_Coal,2050,9,21,24,6,0.0
10496,PT_Coal,2050,10,5,8,2,0.0
10497,PT_Coal,2050,10,9,12,3,0.0
10498,PT_Coal,2050,10,13,16,4,0.0
10499,PT_Coal,2050,10,17,20,5,0.0
10500,PT_Coal,2050,10,21,24,6,0.0
10501,PT_Nuclear,2050,1,5,8,2,0.0
10502,PT_Nuclear,2050,1,9,12,3,0.0
10503,PT_Nuclear,2050,1,13,16,4,0.0
10504,PT_Nuclear,2050,1,17,20,5,0.0
10505,PT_Nuclear,2050,1,21,24,6,0.0
10506,PT_Nuclear,2050,2,5,8,2,0.0
10507,PT_Nuclear,2050,2,9,12,3,0.0
10508,PT_Nuclear,2050,2,13,16,4,0.0
10509,PT_Nuclear,2050,2,17,20,5,0.0
10510,PT_Nuclear,2050,2,21,24,6,0.0
10511,PT_Nuclear,2050,3,5,8,2,0.0
10512,PT_Nuclear,2050,3,9,12,3,0.0
10513,PT_Nuclear,2050,3,13,16,4,0.0
10514,PT_Nuclear,2050,3,17,20,5,0.0
10515,PT_Nuclear,2050,3,21,24,6,0.0
10516,PT_Nuclear,2050,4,5,8,2,0.0
10517,PT_Nuclear,2050,4,9,12,3,0.0
10518,PT_Nuclear,2050,4,13,16,4,0.0
10519,PT_Nuclear,2050,4,17,20,5,0.0
10520,PT_Nuclear,2050,4,21,24,6,0.0
10521,PT_Nuclear,2050,5,5,8,2,0.0
10522,PT_Nuclear,2050,5,9,12,3,0.0
10523,PT_Nuclear,2050,5,13,16,4,0.0
10524,PT_Nuclear,2050,5,17,20,5,0.0
10525,PT_Nuclear,2050,5,21,24,6,0.0
10526,PT_Nuclear,2050,6,5,8,2,0.0
10527,PT_Nuclear,2050,6,9,12,3,0.0
10528,PT_Nuclear,2050,6,13,16,4,0.0
10529,PT_Nuclear,2050,6,17,20,5,0.0
10530,PT_Nuclear,2050,6,21,24,6,0.0
10531,PT_Nuclear,2050,7,5,8,2,0.0
10532,PT_Nuclear,2050,7,9,12,3,0.0
10533,PT_Nuclear,2050,7,13,16,4,0.0
10534,PT_Nuclear,2050,7,17,20,5,0.0
10535,PT_Nuclear,2050,7,21,24,6,0.0
10536,PT_Nuclear,2050,8,5,8,2,0.0
10537,PT_Nuclear,2050,8,9,12,3,0.0
10538,PT_Nuclear,2050,8,13,16,4,0.0
10539,PT_Nuclear,2050,8,17,20,5,0.0
10540,PT_Nuclear,2050,8,21,24,6,0.0
10541,PT_Nuclear,2050,9,5,8,2,0.0
10542,PT_Nuclear,2050,9,9,12,3,0.0
10543,PT_Nuclear,2050,9,13,16,4,0.0
10544,PT_Nuclear,2050,9,17,20,5,0.0
10545,PT_Nuclear,2050,9,21,24,6,0.0
10546,PT_Nuclear,2050,10,5,8,2,0.0
10547,PT_Nuclear,2050,10,9,12,3,0.0
10548,PT_Nuclear,2050,10,13,16,4,0.0
10549,PT_Nuclear,2050,10,17,20,5,0.0
10550,PT_Nuclear,2050,10,21,24,6,0.0
10551,PT_OCGT,2050,1,5,8,2,0.0
10552,PT_OCGT,2050,1,9,12,3,0.0
10553,PT_OCGT,2050,1,13,16,4,0.0
10554,PT_OCGT,2050,1,17,20,5,0.0
10555,PT_OCGT,2050,1,21,24,6,0.0
10556,PT_OCGT,2050,2,5,8,2,0.0
10557,PT_OCGT,2050,2,9,12,3,0.0
10558,PT_OCGT,2050,2,13,16,4,0.0
10559,PT_OCGT,2050,2,17,20,5,0.0
10560,PT_OCGT,2050,2,21,24,6,0.0
10561,PT_OCGT,2050,3,5,8,2,0.0
10562,PT_OCGT,2050,3,9,12,3,0.0
10563,PT_OCGT,2050,3,13,16,4,0.0
10564,PT_OCGT,2050,3,17,20,5,0.0
10565,PT_OCGT,2050,3,21,24,6,0.0
10566,PT_OCGT,2050,4,5,8,2,0.0
10567,PT_OCGT,2050,4,9,12,3,0.0
10568,PT_OCGT,2050,4,13,16,4,0.0
10569,PT_OCGT,2050,4,17,20,5,0.0
10570,PT_OCGT,2050,4,21,24,6,0.0
10571,PT_OCGT,2050,5,5,8,2,0.0
10572,PT_OCGT,2050,5,9,12,3,0.0
10573,PT_OCGT,2050,5,13,16,4,0.0
10574,PT_OCGT,2050,5,17,20,5,0.0
